player_id,team_id,fumbles_lost,receiving_rec,receiving_yds,receiving_tds,rushing_att,rushing_yds,rushing_tds,start_time,day_of_week,week,season_year,home_team,away_team,home_score,away_score
5634,SD,0,7,124,1,10,26,0,04:15:00,sunday,2,2009,SD,BAL,26,31
1211,BAL,0,5,46,0,8,36,0,04:15:00,sunday,2,2009,SD,BAL,26,31
4078,BAL,0,2,10,0,15,79,2,04:15:00,sunday,2,2009,SD,BAL,26,31
2807,DAL,1,0,0,0,7,96,1,08:20:00,sunday,2,2009,DAL,NYG,31,33
1162,DAL,0,2,31,0,18,124,1,08:20:00,sunday,2,2009,DAL,NYG,31,33
2203,DAL,0,1,3,0,2,8,0,08:20:00,sunday,2,2009,DAL,NYG,31,33
4751,NYG,0,0,0,0,16,58,0,08:20:00,sunday,2,2009,DAL,NYG,31,33
125,NYG,0,2,8,0,9,37,0,08:20:00,sunday,2,2009,DAL,NYG,31,33
746,MIA,0,0,0,0,24,136,2,08:30:00,monday,2,2009,MIA,IND,23,27
4543,MIA,0,1,3,0,19,69,0,08:30:00,monday,2,2009,MIA,IND,23,27
4174,IND,0,1,7,0,6,32,0,08:30:00,monday,2,2009,MIA,IND,23,27
4382,IND,0,1,24,0,4,26,1,08:30:00,monday,2,2009,MIA,IND,23,27
1211,BAL,0,4,27,0,11,48,1,01:00:00,sunday,3,2009,BAL,CLE,34,3
4078,BAL,1,0,0,0,7,67,2,01:00:00,sunday,3,2009,BAL,CLE,34,3
416,CLE,0,5,33,0,16,52,0,01:00:00,sunday,3,2009,BAL,CLE,34,3
5366,CLE,0,1,2,0,0,0,0,01:00:00,sunday,3,2009,BAL,CLE,34,3
738,CIN,0,1,5,0,16,76,1,04:15:00,sunday,3,2009,CIN,PIT,23,20
2785,CIN,0,1,11,0,0,0,0,04:15:00,sunday,3,2009,CIN,PIT,23,20
2808,PIT,0,0,0,0,0,0,0,04:15:00,sunday,3,2009,CIN,PIT,23,20
1965,DET,0,3,18,0,16,101,0,01:00:00,sunday,3,2009,DET,WAS,19,14
2678,DET,0,1,12,0,8,10,1,01:00:00,sunday,3,2009,DET,WAS,19,14
802,WAS,0,1,6,0,12,42,0,01:00:00,sunday,3,2009,DET,WAS,19,14
1715,HOU,0,3,37,0,12,76,0,01:00:00,sunday,3,2009,HOU,JAC,24,31
879,JAC,0,4,28,0,23,119,3,01:00:00,sunday,3,2009,HOU,JAC,24,31
2939,JAC,0,1,8,0,1,1,0,01:00:00,sunday,3,2009,HOU,JAC,24,31
2252,MIN,0,7,70,0,6,16,0,01:00:00,sunday,3,2009,MIN,SF,27,24
6489,MIN,0,2,14,0,19,85,0,01:00:00,sunday,3,2009,MIN,SF,27,24
5415,SF,0,0,0,0,1,4,0,01:00:00,sunday,3,2009,MIN,SF,27,24
405,NE,0,0,0,0,4,17,0,01:00:00,sunday,3,2009,NE,ATL,26,10
123,ATL,0,3,41,0,1,3,0,01:00:00,sunday,3,2009,NE,ATL,26,10
5288,ATL,1,0,0,0,15,56,1,01:00:00,sunday,3,2009,NE,ATL,26,10
4664,PHI,0,1,9,0,20,84,1,01:00:00,sunday,3,2009,PHI,KC,34,14
662,KC,1,0,0,0,19,38,0,01:00:00,sunday,3,2009,PHI,KC,34,14
5253,KC,0,3,34,0,6,36,0,01:00:00,sunday,3,2009,PHI,KC,34,14
3550,STL,1,5,46,0,27,117,0,01:00:00,sunday,3,2009,STL,GB,17,36
4404,GB,0,1,5,0,26,99,0,01:00:00,sunday,3,2009,STL,GB,17,36
4278,TB,0,1,3,0,2,8,0,01:00:00,sunday,3,2009,TB,NYG,0,24
4033,TB,0,2,7,0,5,2,0,01:00:00,sunday,3,2009,TB,NYG,0,24
4751,NYG,0,0,0,0,26,92,1,01:00:00,sunday,3,2009,TB,NYG,0,24
125,NYG,0,0,0,0,14,104,0,01:00:00,sunday,3,2009,TB,NYG,0,24
3694,BUF,0,4,26,0,18,71,0,04:05:00,sunday,3,2009,BUF,NO,7,27
201,NO,0,3,17,0,13,64,0,04:05:00,sunday,3,2009,BUF,NO,7,27
3982,NO,0,0,0,0,14,126,2,04:05:00,sunday,3,2009,BUF,NO,7,27
4547,SEA,0,3,38,1,19,98,0,04:05:00,sunday,3,2009,SEA,CHI,19,25
4659,SEA,0,0,0,0,2,4,0,04:05:00,sunday,3,2009,SEA,CHI,19,25
4460,CHI,0,6,40,0,21,66,0,04:05:00,sunday,3,2009,SEA,CHI,19,25
5066,NYJ,0,1,2,0,14,20,0,01:00:00,sunday,3,2009,NYJ,TEN,24,17
671,NYJ,0,1,6,0,12,46,0,01:00:00,sunday,3,2009,NYJ,TEN,24,17
2813,TEN,0,1,8,0,22,97,0,01:00:00,sunday,3,2009,NYJ,TEN,24,17
3041,OAK,1,2,3,0,12,45,0,04:15:00,sunday,3,2009,OAK,DEN,3,23
467,OAK,0,4,20,0,6,20,0,04:15:00,sunday,3,2009,OAK,DEN,3,23
4431,DEN,0,0,0,0,21,90,1,04:15:00,sunday,3,2009,OAK,DEN,3,23
37,DEN,1,0,0,0,14,108,0,04:15:00,sunday,3,2009,OAK,DEN,3,23
1108,DEN,0,0,0,0,2,1,0,04:15:00,sunday,3,2009,OAK,DEN,3,23
5634,SD,0,2,14,0,18,41,0,04:15:00,sunday,3,2009,SD,MIA,23,13
4543,MIA,0,4,29,0,8,55,1,04:15:00,sunday,3,2009,SD,MIA,23,13
746,MIA,0,3,40,0,18,75,0,04:15:00,sunday,3,2009,SD,MIA,23,13
2897,ARI,1,5,39,0,9,22,0,08:20:00,sunday,3,2009,ARI,IND,10,31
4386,ARI,0,0,0,0,2,-2,0,08:20:00,sunday,3,2009,ARI,IND,10,31
